,name,sex,year,times_compete
0,Lasha Talakhadze,M,2023,1
0,Lasha Talakhadze,M,2022,3
0,Lasha Talakhadze,M,2021,19
0,Lasha Talakhadze,M,2020,3
0,Lasha Talakhadze,M,2019,9
0,Lasha Talakhadze,M,2018,9
0,Lasha Talakhadze,M,2017,13
0,Lasha Talakhadze,M,2016,9
0,Lasha Talakhadze,M,2015,1
0,Lasha Talakhadze,M,2014,0
0,Lasha Talakhadze,M,2013,0
1,Ilya Ilyin,M,2023,1
1,Ilya Ilyin,M,2022,0
1,Ilya Ilyin,M,2021,0
1,Ilya Ilyin,M,2020,0
1,Ilya Ilyin,M,2019,0
1,Ilya Ilyin,M,2018,0
1,Ilya Ilyin,M,2017,5
1,Ilya Ilyin,M,2016,3
1,Ilya Ilyin,M,2015,10
1,Ilya Ilyin,M,2014,13
1,Ilya Ilyin,M,2013,20
2,Lu Xiaojun,M,2023,0
2,Lu Xiaojun,M,2022,0
2,Lu Xiaojun,M,2021,0
2,Lu Xiaojun,M,2020,5
2,Lu Xiaojun,M,2019,2
2,Lu Xiaojun,M,2018,4
2,Lu Xiaojun,M,2017,2
2,Lu Xiaojun,M,2016,2
2,Lu Xiaojun,M,2015,1
2,Lu Xiaojun,M,2014,0
2,Lu Xiaojun,M,2013,2
3,Li Dayin,M,2023,3
3,Li Dayin,M,2022,0
3,Li Dayin,M,2021,0
3,Li Dayin,M,2020,0
3,Li Dayin,M,2019,0
3,Li Dayin,M,2018,0
3,Li Dayin,M,2017,0
3,Li Dayin,M,2016,0
3,Li Dayin,M,2015,0
3,Li Dayin,M,2014,0
3,Li Dayin,M,2013,0
4,Tian Tao,M,2023,5
4,Tian Tao,M,2022,1
4,Tian Tao,M,2021,1
4,Tian Tao,M,2020,3
4,Tian Tao,M,2019,11
4,Tian Tao,M,2018,8
4,Tian Tao,M,2017,2
4,Tian Tao,M,2016,0
4,Tian Tao,M,2015,0
4,Tian Tao,M,2014,0
4,Tian Tao,M,2013,0
5,Chen Lijun,M,2023,0
5,Chen Lijun,M,2022,1
5,Chen Lijun,M,2021,4
5,Chen Lijun,M,2020,0
5,Chen Lijun,M,2019,0
5,Chen Lijun,M,2018,1
5,Chen Lijun,M,2017,0
5,Chen Lijun,M,2016,0
5,Chen Lijun,M,2015,0
5,Chen Lijun,M,2014,0
5,Chen Lijun,M,2013,0
6,Li Fabin,M,2023,0
6,Li Fabin,M,2022,1
